employee_id,first_name,last_name,email,grade,department,salary,office_location,hire_date,manager_id
1,Mord,Spinola,morspi@cpschools.com,6,History,56470.19,101,7/21/1990,33
2,Luigi,Isenor,luiise@cpschools.com,6,English,95277.58,939,1/29/1993,1
3,Gayleen,Denley,gayden@cpschools.com,6,Math,91318.22,781,6/9/1994,1
4,Dosi,Margaritelli,dosmar@cpschools.com,6,Science,44335.13,685,5/12/1990,1
5,Meggy,Guyers,megguy@cpschools.com,6,History,88019.26,122,5/10/1997,1
6,Zena,Epton,zenept@cpschools.com,6,English,62229.52,443,7/23/1995,4
7,Nefen,Amiable,nefami@cpschools.com,6,Math,79438.14,449,3/3/1998,4
8,Agna,Philippe,agnphi@cpschools.com,6,Science,87015.57,546,1/2/1993,4
9,Grazia,Turvey,gratur@cpschools.com,6,History,56798.73,198,10/19/1995,1
10,Lorine,Baurerich,lorbau@cpschools.com,6,English,94125.23,759,2/13/1990,9
11,Harmonie,Spragge,harspr@cpschools.com,6,Math,76093.89,401,10/7/1997,9
12,Chen,Sollas,chesol@cpschools.com,6,Science,97128.33,579,8/29/1993,9
13,Dolorita,Mc Caghan,dolmc @cpschools.com,6,History,47803.62,851,6/8/1990,1
14,Willow,Nolda,wilnol@cpschools.com,6,English,76870.21,166,9/10/1997,14
15,Jeremie,Lapham,jerlap@cpschools.com,6,Math,52133.88,821,9/3/1991,14
16,Rhianon,Eyeington,rhieye@cpschools.com,6,Science,94451.11,980,5/31/1996,14
17,Gib,Paladino,gibpal@cpschools.com,7,History,94537.1,810,6/7/1998,33
18,Nathanael,Chape,natcha@cpschools.com,7,English,77118.42,810,1/19/1992,17
19,Abigale,Goodwin,abigoo@cpschools.com,7,Math,36813.82,128,12/4/1999,17
20,Karilynn,Sibille,karsib@cpschools.com,7,Science,65844.32,332,6/6/1991,17
21,Carlie,Gurnell,cargur@cpschools.com,7,History,35638.39,928,2/26/1993,17
22,Gaelan,Brunsen,gaebru@cpschools.com,7,English,92976.33,803,8/3/1994,21
23,Millicent,Buist,milbui@cpschools.com,7,Math,68505.25,695,1/8/1993,21
24,Sybille,Pietesch,sybpie@cpschools.com,7,Science,35092.23,200,9/5/1999,21
25,Rodge,Ainslee,rodain@cpschools.com,7,History,56822,341,9/21/1990,17
26,Lidia,Wapples,lidwap@cpschools.com,7,English,54991.67,447,11/23/1995,26
27,Herman,Piddock,herpid@cpschools.com,7,Math,74212.71,616,2/17/1999,26
28,Wolf,Whotton,wolwho@cpschools.com,7,Science,73938.49,463,4/27/1990,26
29,Lawton,Conant,lawcon@cpschools.com,7,History,77718.12,675,11/25/1990,17
30,Ardeen,Bitcheno,ardbit@cpschools.com,7,English,99907.29,516,7/19/1994,29
31,Arlyne,Postians,arlpos@cpschools.com,7,Math,39196.49,414,9/9/1999,29
32,Cele,Wasylkiewicz,celwas@cpschools.com,7,Science,47867.79,997,4/24/1995,29
33,Hayden,Spritt,hayspr@cpschools.com,8,History,68111.41,251,3/26/1992,
34,Toby,Blasing,tobbla@cpschools.com,8,English,68992.49,309,12/27/1999,34
35,Katrinka,Farnish,katfar@cpschools.com,8,Math,84195.32,507,3/12/1994,34
36,Mariele,Richie,marric@cpschools.com,8,Science,85235.81,548,3/2/1998,34
37,Huberto,Bernlin,hubber@cpschools.com,8,History,98099.72,593,9/15/1993,33
38,Eimile,Pirie,eimpir@cpschools.com,8,English,68145.69,804,4/22/1997,37
39,Karlyn,Craine,karcra@cpschools.com,8,Math,45850.5,130,12/8/1995,37
40,Lauren,Brugemann,laubru@cpschools.com,8,Science,80704.33,952,10/21/1997,37
41,Zedekiah,Cassells,zedcas@cpschools.com,8,History,99184.56,782,3/27/1993,33
42,Elianora,Bearsmore,elibea@cpschools.com,8,English,59231.67,851,6/22/1996,41
43,Judye,Passfield,judpas@cpschools.com,8,Math,81730.57,799,7/12/1999,41
44,Vera,Venditti,verven@cpschools.com,8,Science,41364.49,658,8/26/1995,41
45,Etty,Meale,ettmea@cpschools.com,8,History,90103.22,136,4/25/1999,33
46,Katy,Howitt,kathow@cpschools.com,8,English,85140.82,570,7/4/1992,45
47,Ashlen,Gerant,ashger@cpschools.com,8,Math,36972.19,829,5/8/1990,45
48,Romonda,Durbann,romdur@cpschools.com,8,Science,50712.3,386,8/9/1997,45
